policy_id,age,gender,marital_status,region,income_bracket,policy_type,policy_tenure,premium_amount,sum_assured,payment_mode,missed_payments,num_claims,agent_contact,loan_on_policy,lapsed
POL00032,49,Male,Single,Semi-Urban,Medium,Term,10,30451,265037,Monthly,3,0,1,1,1
POL00033,37,Female,Divorced,Semi-Urban,Medium,Whole Life,18,12450,244731,Monthly,3,0,1,0,1
POL00034,36,Female,Married,Urban,Medium,Whole Life,9,7925,134318,Quarterly,2,0,1,0,0
POL00035,68,Male,Divorced,Semi-Urban,Medium,Term,8,19515,218468,Quarterly,1,2,0,0,0
POL00036,65,Male,Single,Semi-Urban,Medium,ULIP,10,10310,74954,Quarterly,3,1,0,0,0
POL00037,24,Female,Single,Urban,High,Term,17,36817,617788,Monthly,1,1,0,1,0
POL00038,58,Male,Married,Rural,Medium,Term,6,32408,221372,Quarterly,2,0,1,0,0
POL00039,28,Male,Single,Urban,Medium,Endowment,14,49528,388299,Quarterly,0,1,0,0,0
POL00040,42,Male,Married,Urban,Medium,ULIP,6,24280,198435,Quarterly,3,0,0,0,0
POL00041,30,Female,Married,Semi-Urban,High,Endowment,7,22105,295176,Monthly,4,0,1,0,1
POL00042,60,Female,Single,Rural,Medium,ULIP,12,23547,395727,Yearly,4,2,1,0,0
POL00043,39,Female,Single,Semi-Urban,Medium,Term,3,15774,153240,Quarterly,4,1,0,0,1
POL00044,25,Female,Married,Urban,Medium,Whole Life,14,20457,128266,Monthly,4,0,1,0,0
POL00045,46,Female,Single,Rural,Medium,Endowment,19,47311,566221,Monthly,4,0,0,1,0
POL00046,35,Female,Married,Rural,Medium,Endowment,16,8980,145670,Yearly,4,1,1,0,0
POL00047,30,Male,Divorced,Semi-Urban,High,Endowment,7,25886,215499,Quarterly,4,0,1,1,0
POL00048,47,Female,Single,Rural,Low,Endowment,8,16576,137562,Monthly,3,0,0,0,0
POL00049,23,Female,Single,Urban,Medium,ULIP,18,36891,708617,Monthly,4,0,0,0,0
POL00050,41,Male,Married,Rural,High,Whole Life,13,41181,795300,Monthly,4,1,0,0,0
POL00051,49,Female,Divorced,Urban,Low,Whole Life,9,38262,759767,Yearly,2,0,0,0,0
POL00052,68,Female,Divorced,Urban,Medium,Term,10,5947,101782,Quarterly,3,0,0,0,1
POL00053,28,Male,Single,Urban,High,Term,9,5022,39285,Monthly,2,0,1,1,0
POL00054,65,Male,Married,Semi-Urban,High,Endowment,15,6128,50125,Monthly,1,1,1,0,0
POL00055,29,Male,Married,Semi-Urban,Medium,Term,2,18986,191822,Monthly,4,0,1,0,0
POL00056,68,Female,Single,Semi-Urban,Low,Term,13,37322,364710,Monthly,0,0,1,0,0
POL00057,56,Male,Divorced,Rural,Low,ULIP,2,21160,409401,Quarterly,4,0,1,1,0
POL00058,35,Female,Married,Rural,Medium,Term,19,14808,249309,Quarterly,4,2,0,1,0
POL00059,38,Female,Married,Rural,Low,Term,2,34612,548950,Monthly,2,0,0,0,1
POL00060,57,Female,Single,Semi-Urban,Low,Term,3,26725,208173,Monthly,1,1,1,0,0
POL00061,61,Female,Single,Urban,Medium,Whole Life,6,11998,223677,Monthly,2,0,1,0,0
POL00062,25,Male,Divorced,Urban,Medium,Whole Life,3,44950,782941,Yearly,3,1,0,0,0
POL00063,23,Male,Divorced,Semi-Urban,High,Term,10,28418,211845,Yearly,1,0,1,1,0
POL00064,27,Female,Married,Urban,Low,Endowment,6,23040,416276,Yearly,1,0,0,1,0
POL00065,63,Male,Single,Urban,Low,Whole Life,16,25557,232152,Monthly,1,1,1,0,0
POL00066,25,Female,Single,Semi-Urban,High,ULIP,17,26825,166664,Yearly,2,2,1,0,0
POL00067,50,Female,Single,Urban,Medium,ULIP,19,13998,207902,Quarterly,4,0,1,0,0
POL00068,39,Female,Divorced,Semi-Urban,High,ULIP,3,41080,608274,Yearly,4,0,0,0,1
POL00069,47,Male,Divorced,Rural,High,Term,18,20802,133631,Monthly,4,0,0,0,1
POL00070,65,Female,Married,Urban,High,Endowment,7,16167,158158,Quarterly,4,2,1,0,0
POL00071,55,Female,Single,Semi-Urban,Medium,ULIP,9,40092,797518,Monthly,4,0,1,0,0
POL00072,31,Male,Divorced,Rural,Medium,Endowment,12,47407,719467,Quarterly,3,2,0,0,0
POL00073,57,Male,Single,Urban,Medium,ULIP,5,18338,292511,Yearly,0,0,1,0,0
POL00074,35,Male,Divorced,Rural,Medium,Endowment,3,15753,129076,Yearly,1,1,1,1,0
POL00075,52,Male,Single,Urban,Medium,Term,11,10984,67900,Quarterly,0,1,0,0,0
POL00076,69,Female,Married,Rural,Medium,Term,4,23895,218723,Quarterly,3,0,1,0,0
POL00077,36,Male,Divorced,Rural,Low,ULIP,5,48831,426464,Monthly,4,2,0,1,1
POL00078,29,Female,Divorced,Urban,Medium,ULIP,1,5362,45674,Quarterly,3,1,1,0,0
POL00079,35,Male,Married,Semi-Urban,Low,Whole Life,18,8454,66713,Monthly,3,1,1,0,1
POL00080,44,Male,Married,Rural,Medium,ULIP,12,26004,354209,Quarterly,0,0,1,1,0
POL00081,61,Male,Single,Semi-Urban,High,Whole Life,13,41023,407011,Quarterly,1,0,0,1,0
POL00082,42,Male,Divorced,Rural,Low,Whole Life,9,22601,391114,Yearly,2,2,1,0,0
POL00083,37,Male,Single,Rural,Medium,Term,2,10349,80300,Yearly,2,0,0,0,0
POL00084,66,Male,Single,Urban,Low,Term,5,44963,538180,Monthly,1,1,1,1,0
POL00085,39,Female,Single,Rural,High,Whole Life,13,15047,78317,Monthly,4,1,1,0,0
POL00086,68,Male,Divorced,Rural,High,ULIP,16,12750,155871,Monthly,3,0,1,0,1
POL00087,45,Male,Married,Semi-Urban,High,Whole Life,16,34393,200771,Quarterly,4,0,0,0,0
POL00088,47,Male,Single,Semi-Urban,High,ULIP,3,27463,540083,Quarterly,3,0,1,1,0
POL00089,46,Male,Divorced,Semi-Urban,Medium,Term,4,14399,242751,Monthly,2,0,0,0,0
POL00090,66,Female,Single,Urban,Low,ULIP,11,18686,230803,Quarterly,1,0,1,0,0
POL00091,62,Male,Married,Semi-Urban,Medium,Whole Life,14,45803,288504,Yearly,0,0,0,0,0
POL00092,50,Male,Married,Urban,Medium,ULIP,3,39275,545399,Quarterly,0,0,0,0,0
POL00093,36,Male,Divorced,Urban,Medium,Whole Life,16,27787,455191,Yearly,1,1,0,0,0
POL00094,66,Male,Divorced,Semi-Urban,Medium,ULIP,15,19776,155454,Monthly,2,0,0,0,0
POL00095,22,Female,Married,Rural,Low,Whole Life,10,34527,466912,Quarterly,3,2,0,0,1
POL00096,46,Male,Divorced,Rural,Low,Term,9,44351,763421,Monthly,0,1,0,1,0
POL00097,28,Female,Married,Semi-Urban,Medium,Whole Life,11,41695,688956,Yearly,2,1,1,0,0
POL00098,30,Male,Single,Rural,Low,Term,16,20797,354482,Monthly,1,1,1,0,0
POL00099,45,Female,Married,Urban,Medium,Whole Life,10,41999,763955,Yearly,4,0,0,0,0
POL00100,22,Female,Single,Semi-Urban,Medium,Whole Life,17,10302,196410,Yearly,2,1,0,0,1
POL00101,65,Male,Divorced,Urban,Medium,Endowment,19,43059,477215,Monthly,2,1,1,0,1
POL00102,29,Male,Single,Semi-Urban,Low,Endowment,2,5908,79944,Yearly,4,0,0,0,0
POL00103,45,Female,Married,Rural,High,Endowment,2,20123,339271,Monthly,2,1,1,0,0
POL00104,32,Female,Divorced,Rural,Low,Endowment,6,17877,276326,Monthly,0,3,1,0,0
POL00105,38,Male,Divorced,Urban,Medium,ULIP,19,19239,383487,Monthly,0,1,1,1,0
POL00106,29,Female,Married,Rural,Medium,Term,8,26435,137598,Yearly,0,1,1,0,0
POL00107,56,Female,Divorced,Rural,Low,Term,3,32313,333696,Yearly,2,3,1,0,0
POL00108,56,Female,Married,Urban,Low,Endowment,14,40354,371879,Quarterly,2,0,0,1,0
POL00109,54,Male,Single,Urban,Low,ULIP,16,47103,420852,Monthly,2,0,0,1,1
POL00110,26,Female,Single,Urban,Medium,Whole Life,1,22715,189396,Monthly,1,0,0,1,0
POL00111,63,Female,Divorced,Semi-Urban,High,Whole Life,3,28235,441506,Monthly,4,1,1,0,0
POL00112,60,Female,Married,Urban,Medium,Term,18,31129,195222,Monthly,2,1,1,1,1
POL00113,62,Male,Married,Semi-Urban,Medium,Term,9,15534,250472,Monthly,4,0,1,1,0
POL00114,49,Male,Single,Semi-Urban,Medium,ULIP,6,39574,609494,Monthly,3,0,0,0,1
POL00115,28,Female,Single,Semi-Urban,Low,Whole Life,1,48060,421104,Monthly,0,0,1,0,0
POL00116,30,Male,Divorced,Urban,Low,ULIP,10,22189,195096,Quarterly,1,0,0,0,0
POL00117,29,Female,Married,Semi-Urban,High,Whole Life,6,25531,368486,Quarterly,4,0,1,0,0
POL00118,33,Male,Divorced,Rural,Low,Endowment,12,15967,262378,Monthly,0,1,1,0,0
POL00119,55,Male,Divorced,Urban,High,Endowment,4,21455,389349,Monthly,1,0,1,0,0
POL00120,54,Female,Divorced,Urban,Low,ULIP,13,5027,89390,Quarterly,0,1,1,0,0
POL00121,69,Male,Married,Semi-Urban,Medium,Term,17,13660,266004,Quarterly,2,0,1,0,0
POL00122,44,Male,Single,Urban,High,ULIP,8,30339,416274,Monthly,2,0,1,0,1
POL00123,45,Male,Married,Semi-Urban,Medium,ULIP,3,44823,835045,Monthly,0,0,0,0,0
POL00124,58,Female,Married,Urban,Medium,Whole Life,12,14616,250338,Quarterly,1,1,0,0,0
POL00125,56,Male,Married,Semi-Urban,Medium,Whole Life,7,15440,284405,Quarterly,0,2,1,0,0
POL00126,65,Male,Divorced,Urban,Medium,Whole Life,12,41600,215254,Monthly,3,1,1,0,0
POL00127,61,Female,Divorced,Urban,Low,Whole Life,2,18107,352879,Quarterly,1,0,1,0,0
POL00128,43,Male,Married,Semi-Urban,High,Term,14,33646,407215,Monthly,1,0,0,0,0
POL00129,48,Male,Divorced,Rural,Low,Term,5,31251,530415,Yearly,0,0,1,1,0
POL00130,56,Male,Divorced,Urban,Low,Endowment,9,20954,144751,Monthly,4,1,0,0,0
POL00131,22,Male,Single,Rural,High,ULIP,11,21943,240037,Monthly,0,1,1,1,0
POL00132,56,Male,Married,Rural,Medium,Endowment,5,45725,414813,Monthly,4,0,1,0,0
POL00133,58,Female,Married,Urban,Medium,Whole Life,3,25215,236387,Quarterly,1,2,1,0,0
POL00134,68,Female,Divorced,Urban,High,ULIP,17,15110,103485,Monthly,2,0,1,0,0
POL00135,35,Male,Married,Semi-Urban,Medium,Whole Life,2,45112,770804,Monthly,2,0,1,0,1
POL00136,24,Male,Married,Semi-Urban,Medium,ULIP,1,26555,136456,Quarterly,0,0,1,0,0
POL00137,22,Male,Married,Rural,High,Term,7,21462,207914,Yearly,4,0,1,1,0
POL00138,26,Female,Married,Semi-Urban,Medium,Whole Life,14,18696,142391,Yearly,0,0,1,0,0
POL00139,47,Female,Divorced,Semi-Urban,Low,ULIP,5,6031,83442,Quarterly,3,1,1,0,0
POL00140,35,Male,Single,Semi-Urban,Medium,ULIP,19,28765,253528,Monthly,0,0,0,0,0
POL00141,60,Male,Divorced,Semi-Urban,Medium,Whole Life,11,20816,184949,Yearly,0,0,0,0,0
POL00142,48,Female,Single,Urban,Low,Term,2,22868,281849,Yearly,0,0,0,0,0
POL00143,30,Male,Married,Semi-Urban,Medium,Term,8,15437,228318,Quarterly,0,0,1,0,0
POL00144,36,Female,Married,Rural,Medium,Term,9,20453,139480,Yearly,4,0,0,0,0
POL00145,36,Female,Married,Urban,Low,ULIP,3,27222,207776,Yearly,4,1,1,0,0
POL00146,47,Male,Married,Urban,Medium,Term,2,19258,167691,Quarterly,4,0,0,0,0
POL00147,63,Female,Married,Rural,Low,ULIP,7,39318,770877,Yearly,3,0,0,0,1
POL00148,34,Male,Married,Urban,Medium,Endowment,5,17977,196979,Monthly,3,2,0,1,0
POL00149,53,Male,Married,Urban,Medium,Term,5,42450,593656,Quarterly,0,0,1,1,0
POL00150,60,Male,Single,Rural,Low,Whole Life,13,23213,200168,Monthly,4,0,0,0,1
POL00151,53,Male,Divorced,Semi-Urban,Low,Whole Life,6,41519,513045,Monthly,3,0,0,0,0
POL00152,25,Male,Married,Urban,Low,Whole Life,18,15223,93039,Quarterly,2,2,1,0,0
POL00153,51,Male,Married,Semi-Urban,Low,Whole Life,2,44369,244967,Yearly,0,0,1,0,1
POL00154,58,Female,Married,Rural,Medium,Endowment,6,25843,310917,Quarterly,1,0,1,0,1
POL00155,44,Female,Single,Urban,Medium,Endowment,9,8856,97237,Yearly,4,1,1,0,0
POL00156,60,Female,Married,Semi-Urban,Low,Term,3,17661,124566,Monthly,0,1,1,1,0
POL00157,66,Female,Divorced,Rural,Medium,Term,1,20591,315331,Yearly,0,0,1,0,0
POL00158,36,Male,Single,Urban,High,Whole Life,1,11182,222449,Monthly,1,1,1,0,0
POL00159,64,Female,Single,Urban,Low,Whole Life,19,12970,141823,Monthly,2,0,0,0,0
POL00160,50,Female,Married,Semi-Urban,Medium,Whole Life,5,39862,572752,Monthly,3,0,0,0,1
POL00161,57,Female,Single,Urban,Medium,ULIP,13,35755,695243,Quarterly,3,1,0,1,1
POL00162,34,Male,Married,Semi-Urban,Low,Term,19,49863,871257,Yearly,1,0,1,0,0
POL00163,53,Female,Divorced,Semi-Urban,Medium,Whole Life,12,24416,291851,Yearly,1,1,1,0,0
POL00164,28,Male,Divorced,Urban,High,Whole Life,16,18672,299916,Yearly,3,1,1,1,0
POL00165,43,Female,Single,Rural,Low,Whole Life,19,22932,158735,Monthly,2,1,1,0,1
POL00166,49,Male,Single,Urban,High,Endowment,3,13559,171949,Quarterly,2,1,1,0,0
POL00167,23,Male,Married,Rural,Medium,Endowment,12,5064,46517,Yearly,0,1,1,0,0
POL00168,63,Female,Single,Semi-Urban,Low,Endowment,5,8299,61557,Yearly,1,0,1,0,0
POL00169,66,Male,Divorced,Semi-Urban,Medium,ULIP,2,9849,112221,Quarterly,1,1,1,0,0
POL00170,27,Male,Single,Urban,Low,ULIP,7,10639,74102,Yearly,1,0,0,0,0
POL00171,49,Female,Divorced,Urban,Medium,Term,13,16055,248608,Quarterly,3,1,1,0,0
POL00172,49,Female,Married,Urban,Low,Whole Life,15,27058,320464,Quarterly,3,1,1,0,1
POL00173,65,Female,Divorced,Semi-Urban,Medium,Term,3,34427,446420,Yearly,3,1,1,0,1
POL00174,65,Male,Single,Urban,Medium,Term,5,21980,158160,Quarterly,2,0,1,0,0
POL00175,41,Male,Divorced,Rural,Medium,Endowment,8,15866,112594,Quarterly,3,1,0,1,0
POL00176,51,Male,Divorced,Rural,Low,Whole Life,1,8889,122234,Yearly,0,2,0,1,0
POL00177,32,Female,Single,Semi-Urban,Medium,Endowment,8,36335,718529,Monthly,3,1,0,0,0
POL00178,49,Male,Married,Semi-Urban,Low,Endowment,18,31162,200800,Yearly,2,1,1,0,0
POL00179,46,Male,Divorced,Urban,Medium,Whole Life,16,28913,268485,Yearly,1,1,1,0,0
POL00180,60,Male,Single,Urban,Low,Term,18,29687,535609,Monthly,0,0,1,0,0
POL00181,54,Male,Divorced,Rural,Medium,Term,12,38220,232533,Quarterly,2,1,1,1,0
POL00182,22,Male,Divorced,Rural,Low,Endowment,13,15995,290121,Yearly,4,0,0,0,0
POL00183,48,Male,Divorced,Semi-Urban,Medium,Whole Life,13,7631,98167,Monthly,1,0,0,0,0
POL00184,34,Male,Married,Urban,Medium,Term,10,39954,444448,Monthly,3,0,1,0,0
POL00185,62,Female,Divorced,Urban,Medium,ULIP,7,10967,105779,Yearly,2,0,1,0,0
POL00186,24,Female,Single,Urban,Medium,Term,14,27758,262500,Yearly,4,0,1,0,0
POL00187,60,Female,Single,Urban,Medium,Whole Life,16,26742,256376,Monthly,2,0,1,0,0
POL00188,27,Male,Divorced,Rural,High,Whole Life,15,42116,769545,Yearly,3,0,0,1,0
POL00189,29,Male,Married,Urban,Medium,Whole Life,12,31580,500761,Monthly,2,0,0,0,0
POL00190,48,Female,Single,Rural,Medium,Endowment,9,39227,590203,Yearly,4,1,0,0,0
POL00191,30,Male,Married,Semi-Urban,High,Term,8,6942,117883,Monthly,2,0,0,0,0
POL00192,58,Female,Married,Urban,High,ULIP,18,33069,292882,Yearly,0,1,1,0,0
POL00193,54,Male,Single,Rural,Medium,Endowment,18,26806,382538,Yearly,0,1,1,0,0
POL00194,63,Male,Single,Rural,Low,Term,13,19407,230962,Yearly,3,0,1,1,0
POL00195,65,Female,Married,Rural,Medium,Whole Life,18,19557,327318,Quarterly,4,2,1,0,0
POL00196,45,Female,Divorced,Urban,Medium,Term,15,21445,206704,Yearly,4,0,1,0,1
POL00197,36,Female,Married,Rural,Medium,Whole Life,4,22878,335109,Monthly,4,1,1,0,0
POL00198,53,Female,Single,Rural,Medium,Whole Life,17,22564,411413,Monthly,4,1,1,0,0
POL00199,53,Female,Married,Semi-Urban,Medium,Term,5,18093,199606,Quarterly,4,0,0,0,0
POL00200,45,Male,Single,Urban,Medium,Term,16,40556,243308,Quarterly,1,0,1,0,0
POL00201,62,Male,Divorced,Rural,Medium,ULIP,9,31451,400709,Quarterly,2,0,1,1,1
POL00202,33,Male,Divorced,Rural,Low,Term,10,48168,490812,Yearly,4,0,1,0,0
POL00203,60,Female,Divorced,Urban,Low,Term,18,29086,438715,Yearly,0,1,1,0,1
POL00204,23,Female,Divorced,Urban,Medium,Endowment,17,21489,413996,Monthly,2,1,1,0,0
POL00205,24,Female,Divorced,Rural,Medium,Whole Life,18,33004,405425,Monthly,3,0,0,0,1
POL00206,58,Female,Single,Urban,Medium,Whole Life,7,25471,305469,Yearly,3,0,1,0,0
POL00207,38,Female,Married,Urban,Low,ULIP,4,31284,463590,Monthly,4,0,1,0,1
POL00208,23,Female,Divorced,Urban,Low,Endowment,5,41693,273191,Yearly,1,1,1,0,0
POL00209,23,Male,Single,Urban,Medium,ULIP,16,23292,205029,Quarterly,1,0,0,0,0
POL00210,49,Male,Married,Urban,Medium,Term,3,23433,440181,Yearly,2,0,1,0,0
POL00211,44,Male,Married,Rural,Low,ULIP,18,19568,294481,Yearly,1,0,1,0,0
POL00212,58,Male,Divorced,Rural,Medium,Whole Life,14,14466,75247,Yearly,3,1,1,1,1
POL00213,53,Male,Divorced,Semi-Urban,Low,Endowment,15,30521,246285,Monthly,4,1,0,0,0
POL00214,54,Female,Married,Semi-Urban,Low,Term,17,41672,635187,Yearly,0,0,1,1,0
POL00215,22,Female,Married,Urban,Low,Endowment,1,20467,337009,Yearly,3,0,0,1,0
POL00216,40,Female,Single,Urban,Medium,Endowment,17,37019,651456,Yearly,3,1,1,0,1
POL00217,23,Female,Divorced,Rural,High,ULIP,11,15419,144671,Quarterly,2,0,0,0,1
POL00218,65,Female,Married,Semi-Urban,Low,Term,17,21676,411094,Yearly,1,0,1,0,0
POL00219,47,Female,Married,Urban,Low,Endowment,14,34255,455392,Yearly,0,0,1,0,0
POL00220,53,Male,Divorced,Urban,Medium,Endowment,19,36514,564071,Yearly,0,0,0,0,0
POL00221,27,Female,Single,Semi-Urban,High,ULIP,7,48182,672191,Monthly,1,0,0,0,0
POL00222,53,Female,Single,Semi-Urban,Low,Endowment,13,27650,189156,Quarterly,4,0,0,0,0
POL00223,25,Female,Divorced,Urban,Medium,Whole Life,18,27754,539724,Quarterly,1,0,1,0,0
POL00224,32,Female,Single,Semi-Urban,Low,Whole Life,14,17165,117462,Yearly,4,0,1,0,0
POL00225,38,Male,Single,Semi-Urban,Low,Term,1,15683,138374,Yearly,0,0,1,0,0
POL00226,59,Male,Single,Semi-Urban,Medium,Term,7,37556,646129,Monthly,2,1,1,1,0
POL00227,45,Female,Married,Rural,High,ULIP,8,20442,291890,Yearly,3,1,1,0,0
POL00228,26,Male,Married,Urban,Medium,Endowment,18,9860,173262,Monthly,0,1,1,0,0
POL00229,55,Male,Single,Semi-Urban,High,ULIP,9,8729,111172,Yearly,0,1,1,0,0
POL00230,27,Female,Divorced,Semi-Urban,Medium,ULIP,1,36351,387316,Monthly,0,0,0,0,0
POL00231,43,Female,Divorced,Urban,High,Whole Life,17,29346,552517,Quarterly,3,1,1,1,0
POL00232,32,Female,Divorced,Rural,Low,Endowment,19,13619,75500,Yearly,4,1,0,1,0
POL00233,69,Female,Single,Urban,Low,Whole Life,6,16164,288397,Monthly,2,0,1,0,1
POL00234,37,Female,Divorced,Semi-Urban,Medium,Whole Life,3,43878,371307,Monthly,2,0,0,0,0
POL00235,54,Male,Married,Semi-Urban,Medium,Term,5,11955,211974,Yearly,2,1,0,0,0
POL00236,30,Female,Divorced,Urban,Medium,ULIP,2,5106,36191,Monthly,4,1,0,1,0
POL00237,27,Female,Divorced,Rural,Medium,Whole Life,4,9754,133661,Yearly,1,1,1,1,0
POL00238,37,Female,Married,Urban,Medium,Term,10,49293,903127,Yearly,1,0,0,0,0
POL00239,50,Male,Married,Urban,Medium,Term,10,26662,322692,Monthly,2,0,1,0,0
POL00240,24,Female,Single,Urban,Low,Endowment,11,11408,184792,Monthly,0,0,0,0,1
POL00241,41,Female,Single,Rural,Medium,Endowment,16,45403,775032,Monthly,0,0,0,1,0
POL00242,57,Female,Single,Urban,Medium,Whole Life,17,6225,99895,Quarterly,3,0,0,0,0
POL00243,40,Male,Single,Urban,Medium,Term,16,17196,324659,Yearly,1,0,0,0,0
POL00244,47,Female,Single,Urban,Low,Term,7,9250,108248,Yearly,0,0,1,0,0
POL00245,24,Female,Married,Semi-Urban,Medium,Term,16,20372,154763,Quarterly,2,0,0,1,0
POL00246,40,Female,Married,Rural,Medium,ULIP,3,22279,127372,Quarterly,3,0,0,0,0
POL00247,41,Male,Married,Semi-Urban,Low,Term,16,49865,433670,Monthly,1,0,0,0,0
POL00248,53,Female,Divorced,Semi-Urban,Low,ULIP,8,35193,251558,Yearly,3,2,0,0,0
POL00249,28,Female,Divorced,Urban,Low,Endowment,12,49823,666095,Quarterly,0,2,1,0,0
POL00250,62,Female,Divorced,Semi-Urban,Medium,Whole Life,3,31868,247747,Quarterly,2,0,1,0,0
POL00251,54,Male,Single,Urban,Medium,Endowment,17,43187,241156,Yearly,2,1,0,0,0
POL00252,61,Female,Divorced,Urban,Low,Whole Life,18,33475,185446,Yearly,2,2,0,0,1
POL00253,60,Female,Single,Urban,Medium,Term,11,49552,865848,Yearly,0,0,1,1,0
POL00254,39,Female,Single,Semi-Urban,High,Whole Life,4,7433,103108,Monthly,4,0,0,1,0
POL00255,61,Male,Single,Rural,Low,Whole Life,16,15998,165919,Quarterly,2,0,1,0,0
POL00256,22,Male,Single,Urban,Medium,Endowment,17,49343,908573,Monthly,4,0,1,1,0
POL00257,32,Female,Divorced,Rural,Medium,Whole Life,9,36133,218711,Yearly,2,0,0,0,0
POL00258,49,Male,Married,Rural,Medium,Term,6,39069,769848,Yearly,4,0,0,0,0
POL00259,46,Male,Single,Semi-Urban,Low,ULIP,2,11858,168909,Quarterly,1,0,0,0,0
POL00260,44,Male,Divorced,Urban,Low,Term,9,13950,108139,Monthly,1,0,1,0,0
POL00261,52,Female,Single,Semi-Urban,Low,Whole Life,6,13938,211662,Monthly,2,0,0,1,0
POL00262,51,Female,Single,Rural,Medium,Endowment,3,30168,496285,Monthly,3,0,1,1,0
POL00263,63,Male,Married,Rural,Medium,Term,6,37099,424417,Yearly,3,0,1,0,0
POL00264,56,Male,Single,Rural,Low,Whole Life,7,10644,190788,Quarterly,0,1,0,0,0
POL00265,28,Male,Married,Urban,Medium,Endowment,1,48846,354670,Monthly,1,0,0,0,0
POL00266,37,Female,Divorced,Urban,Medium,ULIP,1,14260,130943,Yearly,1,0,1,1,0
POL00267,47,Female,Single,Semi-Urban,High,Endowment,5,41075,262977,Yearly,3,1,0,0,1
POL00268,69,Male,Married,Rural,Low,Whole Life,6,21488,175410,Monthly,2,1,0,0,0
POL00269,23,Male,Single,Urban,Medium,Endowment,13,5395,46294,Quarterly,0,2,1,0,0
POL00270,22,Male,Single,Rural,Medium,Whole Life,2,15845,297323,Quarterly,1,0,0,1,0
POL00271,69,Male,Single,Urban,High,Endowment,15,41059,253401,Monthly,0,2,1,0,0
POL00272,33,Female,Married,Semi-Urban,Medium,Endowment,15,23394,266954,Yearly,1,0,0,1,0
POL00273,26,Male,Divorced,Rural,Low,Endowment,13,33457,434471,Yearly,4,1,1,0,0
POL00274,58,Female,Married,Urban,High,Whole Life,14,42305,781813,Monthly,4,0,1,0,0
POL00275,53,Male,Divorced,Semi-Urban,Medium,Endowment,7,47628,950914,Yearly,0,0,0,0,0
